CASRN,Name,Hazard class,Category,H-statement,M-factor
106917-52-6,Flusulfamide,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
106917-52-6,Flusulfamide,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
106917-52-6,Flusulfamide,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
106917-52-6,Flusulfamide,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
70124-77-5,Flucythrinate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
70124-77-5,Cyano(3-phenoxyphenyl)methyl 2-[4-difluoromethoxy)phenyl]-3-methylbutyrate ; Flucythrinate,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
70124-77-5,Cyano(3-phenoxyphenyl)methyl 2-[4-difluoromethoxy)phenyl]-3-methylbutyrate ; Flucythrinate,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
70124-77-5,Cyano(3-phenoxyphenyl)methyl 2-[4-difluoromethoxy)phenyl]-3-methylbutyrate ; Flucythrinate,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
79622-59-6,Fluazinam,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
79622-59-6,"3-Chloro-N-(3-chloro-5-trifluoromethyl-2-pyridyl)-α, α, α-trifluoro-2,6-dinitro-p-toluidine ; Fluazinam",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
79622-59-6,"3-Chloro-N-(3-chloro-5-trifluoromethyl-2-pyridyl)-α, α, α-trifluoro-2,6-dinitro-p-toluidine ; Fluazinam",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
351-05-3,Fluoroaceto-p-bromo aniline,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
351-05-3,Fluoroaceto-p-bromo aniline,Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
640-19-7,Fluoroacetamide,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
640-19-7,2-Fluoroacetamide ; Fluoroacetamide,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
640-19-7,2-Fluoroacetamide ; Fluoroacetamide,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
7789-23-3,Potassium fluoride,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
108-35-0,Pyrazothion,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
89784-60-1,Pyraclofos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
89784-60-1,Pyraclofos,Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
89784-60-1,Pyraclofos,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
89784-60-1,Pyraclofos,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
96489-71-3,Pyridaben,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,100
96489-71-3,2-tert-Butyl-5-(4-tert-butylbenzylthio)-4-chloropyridazin-3(2H)-one ; Pyridaben,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
96489-71-3,2-tert-Butyl-5-(4-tert-butylbenzylthio)-4-chloropyridazin-3(2H)-one ; Pyridaben,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,100
96489-71-3,2-tert-Butyl-5-(4-tert-butylbenzylthio)-4-chloropyridazin-3(2H)-one ; Pyridaben,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
53558-25-1,Pyriminil,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
23103-98-2,Primicarb,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
23103-98-2,Primicarb,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
23103-98-2,"2-Dimethylamino-5,6-dimethylpyrimidin-4-yl dimethylcarbamate ; Primicarb",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
23103-98-2,"2-Dimethylamino-5,6-dimethylpyrimidin-4-yl dimethylcarbamate ; Primicarb",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
5221-49-8,Pyrimitate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
23505-41-1,Pirimiphos-ethyl,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
23505-41-1,"O-2-Diethylamino-6-methylpyrimidin-4-yl-O,O-diethyl phosphorothioate ; Pirimiphos-ethyl",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
23505-41-1,"O-2-Diethylamino-6-methylpyrimidin-4-yl-O,O-diethyl phosphorothioate ; Pirimiphos-ethyl",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
23505-41-1,"O-2-Diethylamino-6-methylpyrimidin-4-yl-O,O-diethyl phosphorothioate ; Pirimiphos-ethyl",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
1336-36-3,PCBs,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,10
1336-36-3,PCBs,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
1336-36-3,PCBs,Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
1336-36-3,"1,1'-Biphenyl, chloro derivs. ; Polychlorinated biphenyl",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
1336-36-3,"1,1'-Biphenyl, chloro derivs. ; Polychlorinated biphenyl",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
120068-37-3,Fipronil,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
120068-37-3,Fipronil,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
120068-37-3,"5-Amino-1-(2,6-dichloro-4-trifluoromethylphenyl)-4-trifluoromethylsulfinyl-1H-pyrazole-3-carbonitrile ; Fipronil",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
120068-37-3,"5-Amino-1-(2,6-dichloro-4-trifluoromethylphenyl)-4-trifluoromethylsulfinyl-1H-pyrazole-3-carbonitrile ; Fipronil",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
120068-37-3,"5-Amino-1-(2,6-dichloro-4-trifluoromethylphenyl)-4-trifluoromethylsulfinyl-1H-pyrazole-3-carbonitrile ; Fipronil",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
111872-58-3,Halfenprox,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,100
111872-58-3,"Benzene, 1-[[2-[4-(bromodifluoromethoxy)phenyl]-2-methylpropoxy]methyl]-3-phenoxy- ; Halfenprox",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
111872-58-3,"Benzene, 1-[[2-[4-(bromodifluoromethoxy)phenyl]-2-methylpropoxy]methyl]-3-phenoxy- ; Halfenprox",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
111872-58-3,"Benzene, 1-[[2-[4-(bromodifluoromethoxy)phenyl]-2-methylpropoxy]methyl]-3-phenoxy- ; Halfenprox",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
757-58-4,Hexaethyl tetraphosphate,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
76-44-8,Heptachlor,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,10
76-44-8,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-Tetrahydro-4,7-methanoindene ; Heptachlor",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
76-44-8,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-Tetrahydro-4,7-methanoindene ; Heptachlor",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
76-44-8,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-Tetrahydro-4,7-methanoindene ; Heptachlor",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
76-44-8,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-Tetrahydro-4,7-methanoindene ; Heptachlor",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
76-44-8,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-Tetrahydro-4,7-methanoindene ; Heptachlor",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
7446-18-6,Thallium sulfate,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
7446-18-6,Dithallium sulfate,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
7446-18-6,Dithallium sulfate,Specific target organ toxicity - Repeated exposure,Category 1,H372 - Causes damage to organs through prolonged or repeated exposure,
7446-18-6,Dithallium sulfate,Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
91-59-8,2-Naphthylamine ,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
91-59-8,"2-Naphthylamine ; β-Naphthylamine, 2-Naphthalenamine",Carcinogenicity,Category 1,H350 - May cause cancer,
91-59-8,"2-Naphthylamine ; β-Naphthylamine, 2-Naphthalenamine",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
91-59-8,"2-Naphthylamine ; β-Naphthylamine, 2-Naphthalenamine",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
793-24-8,"N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-benzenediamine ; N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-phenylenediamine",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
793-24-8,"N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-benzenediamine ; N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-phenylenediamine",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
793-24-8,"N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-benzenediamine ; N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-phenylenediamine",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
793-24-8,"N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-benzenediamine ; N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-phenylenediamine",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,100
106-93-4,"1,2-Dibromoethane",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
106-93-4,"1,2-Dibromoethane",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
106-93-4,"1,2-Dibromoethane",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
106-93-4,"1,2-Dibromoethane",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
106-93-4,"1,2-Dibromoethane",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
106-93-4,"1,2-Dibromoethane",Carcinogenicity,Category 1,H350 - May cause cancer,
106-93-4,"1,2-Dibromoethane",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
106-93-4,"1,2-Dibromoethane",Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
96-12-8,"1,2-Dibromo-3-chloropropane",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
96-12-8,"1,2-Dibromo-3-chloropropane",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
96-12-8,"1,2-Dibromo-3-chloropropane",Germ cell mutagenicity,Category 1,H340 - May cause genetic defects,
96-12-8,"1,2-Dibromo-3-chloropropane",Carcinogenicity,Category 2,H351 - Suspected of causing cancer,
96-12-8,"1,2-Dibromo-3-chloropropane",Reproductive toxicity,Category 1,H360 - May damage fertility or the unborn child,
96-12-8,"1,2-Dibromo-3-chloropropane",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
96-12-8,"1,2-Dibromo-3-chloropropane",Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
869-29-4,"3,3-Diacetoxy-1-propene",Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
869-29-4,"3,3-Diacetoxy-1-propene",Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
869-29-4,"3,3-Diacetoxy-1-propene",Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
122431-24-7,"O,O-Diethyl O-1-phenyl-3-trifluoromethylpyrazol-5-ylphosphorothioate",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
122431-24-7,"O,O-Diethyl O-1-phenyl-3-trifluoro methylpyrazol-5-ylphosphorothioate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
122431-24-7,"O,O-Diethyl O-1-phenyl-3-trifluoro methylpyrazol-5-ylphosphorothioate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
553-26-4,"4,4'-Dipyridyl",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
62262-84-4,4-Mercaptophenyl methane sulfonate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
5124-30-1,"1,1'-Methylenebis[4-isocyanatocyclohexane]",Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
5124-30-1,"1,1'-Methylenebis[4-isocyanatocyclohexane]",Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
5124-30-1,"1,1'-Methylenebis[4-isocyanatocyclohexane] ; 4,4'-Methylenedicyclohexyl diisocyanate",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
5124-30-1,"1,1'-Methylenebis[4-isocyanatocyclohexane] ; 4,4'-Methylenedicyclohexyl diisocyanate",Respiratory sensitization,Category 1,H334 - May cause allergy or asthma symptoms or breathing difficulties if inhaled,
5124-30-1,"1,1'-Methylenebis[4-isocyanatocyclohexane] ; 4,4'-Methylenedicyclohexyl diisocyanate",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
5124-30-1,"1,1'-Methylenebis[4-isocyanatocyclohexane] ; 4,4'-Methylenedicyclohexyl diisocyanate",Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
106-51-4,"1,4-Benzoquinone",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
106-51-4,"2,5-Cyclohexadiene-1,4-dione",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
106-51-4,"2,5-Cyclohexadiene-1,4-dione",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
106-51-4,"2,5-Cyclohexadiene-1,4-dione",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
106-51-4,"2,5-Cyclohexadiene-1,4-dione",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
106-51-4,"2,5-Cyclohexadiene-1,4-dione",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,10
110-65-6,"2-Butyne-1,4-diol",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
110-65-6,"2-Butyne-1,4-diol",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
110-65-6,"2-Butyne-1,4-diol",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
110-65-6,"2-Butyne-1,4-diol",Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
110-65-6,"2-Butyne-1,4-diol",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
110-65-6,"2-Butyne-1,4-diol",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
4299-07-4,2-n-Butyl-benzo[d]isothiazol-3-one,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
4299-07-4,2-n-Butyl-benzo[d]isothiazol-3-one,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
4299-07-4,2-n-Butyl-benzo[d]isothiazol-3-one,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
4299-07-4,2-n-Butyl-benzo[d]isothiazol-3-one,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
767-10-2,N-Butylpyrrolidine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
767-10-2,N-Butylpyrrolidine,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
540-51-2,2-Bromoethanol,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
122453-73-0,4-Bromo-2-(4-chlorophenyl)-1-(ethoxymethyl)-5-(trifluoromethyl)pyrrole-3-carbonitrile,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
122453-73-0,4-Bromo-2-(4-chloro phenyl)-1-(ethoxymethyl)-5-(trifluoromethyl)pyrrole-3-carbonitrile,Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
122453-73-0,4-Bromo-2-(4-chloro phenyl)-1-(ethoxymethyl)-5-(trifluoromethyl)pyrrole-3-carbonitrile,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
122453-73-0,4-Bromo-2-(4-chloro phenyl)-1-(ethoxymethyl)-5-(trifluoromethyl)pyrrole-3-carbonitrile,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,1
100-69-6,2-Vinylpyridine,Flammable liquids,Category 3,H226 - Flammable liquid and vapour,
100-69-6,2-Vinylpyridine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
100-69-6,2-Vinylpyridine,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
100-69-6,2-Vinylpyridine,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
100-69-6,2-Vinylpyridine,Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
100-43-6,4-Vinylpyridine,Flammable liquids,Category 3,H226 - Flammable liquid and vapour,
100-43-6,4-Vinylpyridine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
100-43-6,4-Vinylpyridine,Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
100-43-6,4-Vinylpyridine ; 4-Ethenylpyridine,Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
10563-26-5,"N,N'-Bis(3-aminopropyl)-1,2-ethanediamine",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
10563-26-5,"N,N'-Bis(3-aminopropyl)-1,2-ethanediamine",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
10563-26-5,"N,N'-Bis(3-aminopropyl)-1,2-ethanediamine",Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
92-67-1,4-Aminodiphenyl,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
92-67-1,4-Aminodiphenyl,Carcinogenicity,Category 1,H350 - May cause cancer,
60-09-3,p-Aminoazobenzene,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
60-09-3,p-Aminoazobenzene,Carcinogenicity,Category 1,H350 - May cause cancer,
60-09-3,p-Aminoazobenzene,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,0
60-09-3,p-Aminoazobenzene,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
108-42-9,m-Aminochlorobenzene,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
108-42-9,3-Chlorobenzeneamine ; m-Chloroaniline,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
108-42-9,3-Chlorobenzeneamine ; m-Chloroaniline,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
108-42-9,3-Chlorobenzeneamine ; m-Chloroaniline,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
108-42-9,3-Chlorobenzeneamine ; m-Chloroaniline,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
504-24-5,4-Aminopyridine,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
504-24-5,4-Aminopyridine,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
504-24-5,4-Pyridinamine ; 4-Aminopyridine,Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
NA,"Amine,tert-alkyl(C=12-14),1-amino-9,10-dihydro-9,10-dioxo-4-(2,4,6-trimethylanilino)-anthracene-2-sulfonic acid",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
NA,"Amine,tert-alkyl(C=12-14),1-amino-9,10-dihydro-9,10-dioxo-4-(2,4,6-trimethylanilino)-anthracene-2-sulfonic acid",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
NA,"Amine,tert-alkyl(C=12-14),1-amino-9,10-dihydro-9,10-dioxo-4-(2,4,6-trimethylanilino)-anthracene-2-sulfonic acid",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2425-66-3,1-Chloro-2-nitropropane,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
2425-66-3,1-Chloro-2-nitropropane,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
2425-66-3,1-Chloro-2-nitropropane,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
2425-66-3,1-Chloro-2-nitropropane,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,1
109-09-1,2-Chloropyridine,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
109-09-1,2-Chloropyridine,Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
135410-20-7,(E)-N-[(6-Chloro-3-pyridyl)methyl]-N-cyano-N-methylacetamidine,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
135410-20-7,(E)-N-[(6-Chloro-3-pyridyl)methyl]-N-cyano-N-methylacetamidine,Hazardous to the aquatic environment (chronic),Category 3,H412 - Harmful to aquatic life with long lasting effects,
20018-09-1,p-Tolyl diiodomethyl sulfone,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
20018-09-1,p-[(Diiodomethyl)sulfonyl]toluene ; p-Tolyl diiodomethyl sulfone,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
20018-09-1,p-[(Diiodomethyl)sulfonyl]toluene ; p-Tolyl diiodomethyl sulfone,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
78-48-8,"S,S,S-Tributyl phosphorotrithioate",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
78-48-8,"S,S,S-Tributyl phosphorotrithioate",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
78-48-8,"S,S,S-Tributyl phosphorotrithioate",Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
78-48-8,"S,S,S-Tributyl phosphorotrithioate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
78-48-8,"S,S,S-Tributyl phosphorotrithioate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
93-76-5,"2,4,5-T",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
93-76-5,"2,4,5-Trichlorophenoxyacetate ; 2,4,5-T",Acute toxicity (dermal),Category 4,H312 - Harmful in contact with skin,
93-76-5,"2,4,5-Trichlorophenoxyacetate ; 2,4,5-T",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
93-76-5,"2,4,5-Trichlorophenoxyacetate ; 2,4,5-T",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
93-76-5,"2,4,5-Trichlorophenoxyacetate ; 2,4,5-T",Specific target organ toxicity - Single exposure,Category 3,H335 - May cause respiratory irritation,
93-76-5,"2,4,5-Trichlorophenoxyacetate ; 2,4,5-T",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
93-76-5,"2,4,5-Trichlorophenoxyacetate ; 2,4,5-T",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
70750-20-8,"2-Propenamide homopolymer reaction products with chloromethane, di-methylamine and formaldehyde",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
124-02-7,N-2-Propenyl-2-propen-1-amine,Flammable liquids,Category 2,H225 - Highly flammable liquid and vapour,
124-02-7,N-2-Propenyl-2-propen-1-amine,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
124-02-7,N-2-Propenyl-2-propen-1-amine,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
124-02-7,N-2-Propenyl-2-propen-1-amine,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
124-02-7,N-2-Propenyl-2-propen-1-amine,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
107-19-7,2-Propyn-1-ol ,Flammable liquids,Category 3,H226 - Flammable liquid and vapour,
107-19-7,2-Propyn-1-ol ; Propargyl alcohol,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
107-19-7,2-Propyn-1-ol ; Propargyl alcohol,Acute toxicity (dermal),Category 1,H310 - Fatal in contact with skin,
107-19-7,2-Propyn-1-ol ; Propargyl alcohol,Acute toxicity (inhalation),Category 2,H330 - Fatal if inhaled,
107-19-7,2-Propyn-1-ol ; Propargyl alcohol,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
30785-74-1,Disodium[3-hydroxy-4-[(2-hydroxy-1-naphthyl) azo]-1-naphthalene sulfonato(3-)[1-[[2-hydroxy-5-[(r-methoxyphenyl)azo]phenyl]azo]-2-naphtholato(2-)] chromate(2-),Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
30785-74-1,Disodium[3-hydroxy-4-[(2-hydroxy-1-naphthyl) azo]-1-naphthalene sulfonato(3-)[1-[[2-hydroxy-5-[(p-methoxy phenyl)azo]phenyl]azo]-2-naphtholato(2-)] chromate(2-),Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
30785-74-1,Disodium[3-hydroxy-4-[(2-hydroxy-1-naphthyl) azo]-1-naphthalene sulfonato(3-)[1-[[2-hydroxy-5-[(p-methoxy phenyl)azo]phenyl]azo]-2-naphtholato(2-)] chromate(2-),Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2094-99-7,3-[(Prop-1-en-2-yl)phenyl]prop-2-yl isocyanate,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
2094-99-7,3-[(Prop-1-en-2-yl)phenyl]prop-2-yl isocyanate,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
2094-99-7,3-[(Prop-1-en-2-yl)phenyl]prop-2-yl isocyanate,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
2094-99-7,3-[(Prop-1-en-2-yl)phenyl]prop-2-yl isocyanate,Respiratory sensitization,Category 1,H334 - May cause allergy or asthma symptoms or breathing difficulties if inhaled,
2094-99-7,3-[(Prop-1-en-2-yl)phenyl]prop-2-yl isocyanate,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
2094-99-7,3-[(Prop-1-en-2-yl)phenyl]prop-2-yl isocyanate,Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
